空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
940.000000,-3.532739,-0.185242,-0.003533,-6.566393,-96.467261,0.000654
945.000000,-3.531828,-0.180066,-0.003532,-6.584055,-96.468172,0.000636
950.000000,-3.530943,-0.175036,-0.003531,-6.601712,-96.469057,0.000618
955.000000,-3.530083,-0.170147,-0.003530,-6.619364,-96.469917,0.000601
960.000000,-3.529246,-0.165397,-0.003529,-6.637012,-96.470754,0.000584
965.000000,-3.528433,-0.160780,-0.003529,-6.654657,-96.471567,0.000567
970.000000,-3.527643,-0.156292,-0.003528,-6.672297,-96.472357,0.000551
975.000000,-3.526874,-0.151932,-0.003527,-6.689933,-96.473126,0.000536
980.000000,-3.526127,-0.147693,-0.003526,-6.707566,-96.473873,0.000521
985.000000,-3.525401,-0.143574,-0.003525,-6.725194,-96.474599,0.000506
990.000000,-3.524696,-0.139570,-0.003525,-6.742820,-96.475304,0.000492
995.000000,-3.524009,-0.135679,-0.003524,-6.760441,-96.475991,0.000478
1000.000000,-3.523342,-0.131897,-0.003523,-6.778060,-96.476658,0.000465
1005.000000,-3.522694,-0.128221,-0.003523,-6.795675,-96.477306,0.000452
1010.000000,-3.522064,-0.124648,-0.003522,-6.813287,-96.477936,0.000439
1015.000000,-3.521451,-0.121176,-0.003522,-6.830896,-96.478549,0.000427
1020.000000,-3.520855,-0.117801,-0.003521,-6.848501,-96.479145,0.000415
1025.000000,-3.520276,-0.114520,-0.003520,-6.866104,-96.479724,0.000403
1030.000000,-3.519713,-0.111331,-0.003520,-6.883704,-96.480287,0.000392
1035.000000,-3.519166,-0.108231,-0.003519,-6.901301,-96.480834,0.000381
1040.000000,-3.518634,-0.105219,-0.003519,-6.918896,-96.481366,0.000370
1045.000000,-3.518116,-0.102290,-0.003518,-6.936488,-96.481884,0.000360
1050.000000,-3.517614,-0.099443,-0.003518,-6.954077,-96.482386,0.000350
1055.000000,-3.517125,-0.096676,-0.003517,-6.971664,-96.482875,0.000340
1060.000000,-3.516649,-0.093987,-0.003517,-6.989248,-96.483351,0.000331
1065.000000,-3.516187,-0.091372,-0.003516,-7.006830,-96.483813,0.000321
1070.000000,-3.515738,-0.088831,-0.003516,-7.024410,-96.484262,0.000312
1075.000000,-3.515301,-0.086361,-0.003515,-7.041988,-96.484699,0.000304
1080.000000,-3.514877,-0.083959,-0.003515,-7.059563,-96.485123,0.000295
1085.000000,-3.514464,-0.081625,-0.003515,-7.077137,-96.485536,0.000287
1090.000000,-3.514063,-0.079356,-0.003514,-7.094708,-96.485937,0.000279
1095.000000,-3.513673,-0.077150,-0.003514,-7.112277,-96.486327,0.000271
1100.000000,-3.513293,-0.075005,-0.003513,-7.129845,-96.486707,0.000264
1105.000000,-3.512925,-0.072921,-0.003513,-7.147410,-96.487075,0.000256
1110.000000,-3.512566,-0.070895,-0.003513,-7.164974,-96.487434,0.000249
1115.000000,-3.512217,-0.068925,-0.003512,-7.182536,-96.487783,0.000242
1120.000000,-3.511879,-0.067010,-0.003512,-7.200096,-96.488121,0.000235
1125.000000,-3.511549,-0.065148,-0.003512,-7.217655,-96.488451,0.000229
1130.000000,-3.511229,-0.063339,-0.003511,-7.235212,-96.488771,0.000222
1135.000000,-3.510918,-0.061579,-0.003511,-7.252767,-96.489082,0.000216
1140.000000,-3.510615,-0.059869,-0.003511,-7.270321,-96.489385,0.000210
1145.000000,-3.510320,-0.058207,-0.003510,-7.287873,-96.489680,0.000204
1150.000000,-3.510034,-0.056590,-0.003510,-7.305424,-96.489966,0.000199
1155.000000,-3.509756,-0.055019,-0.003510,-7.322973,-96.490244,0.000193
1160.000000,-3.509486,-0.053491,-0.003510,-7.340522,-96.490514,0.000188
1165.000000,-3.509223,-0.052006,-0.003509,-7.358068,-96.490777,0.000183
1170.000000,-3.508967,-0.050563,-0.003509,-7.375614,-96.491033,0.000177
1175.000000,-3.508718,-0.049159,-0.003509,-7.393158,-96.491282,0.000172
1180.000000,-3.508477,-0.047795,-0.003509,-7.410701,-96.491523,0.000168
1185.000000,-3.508242,-0.046468,-0.003508,-7.428243,-96.491758,0.000163
